-5.60E-03	-0.152
-5.60E-03	-0.148
-5.59E-03	-0.176
-5.59E-03	-0.164
-5.58E-03	-0.144
-5.58E-03	-0.16
-5.58E-03	-0.152
-5.57E-03	-0.168
-5.57E-03	-0.148
-5.56E-03	-0.132
-5.56E-03	-0.132
-5.56E-03	-0.152
-5.55E-03	-0.14
-5.55E-03	-0.156
-5.54E-03	-0.124
-5.54E-03	-0.144
-5.54E-03	-0.14
-5.53E-03	-0.136
-5.53E-03	-0.128
-5.52E-03	-0.132
-5.52E-03	-0.132
-5.52E-03	-0.132
-5.51E-03	-0.144
-5.51E-03	-0.124
-5.50E-03	-0.12
-5.50E-03	-0.136
-5.50E-03	-0.108
-5.49E-03	-0.132
-5.49E-03	-0.14
-5.48E-03	-0.128
-5.48E-03	-0.124
-5.48E-03	-0.12
-5.47E-03	-0.12
-5.47E-03	-0.124
-5.46E-03	-0.104
-5.46E-03	-0.132
-5.46E-03	-0.124
-5.45E-03	-0.12
-5.45E-03	-0.108
-5.44E-03	-0.112
-5.44E-03	-0.104
-5.44E-03	-0.104
-5.43E-03	-0.128
-5.43E-03	-0.1
-5.42E-03	-0.108
-5.42E-03	-0.116
-5.42E-03	-0.088
-5.41E-03	-0.116
-5.41E-03	-0.092
-5.40E-03	-0.096
-5.40E-03	-0.104
-5.40E-03	-0.096
-5.39E-03	-0.12
-5.39E-03	-0.1
-5.38E-03	-0.1
-5.38E-03	-0.092
-5.38E-03	-0.112
-5.37E-03	-0.108
-5.37E-03	-0.108
-5.36E-03	-0.096
-5.36E-03	-0.1
-5.36E-03	-0.092
-5.35E-03	-0.108
-5.35E-03	-0.108
-5.34E-03	-0.096
-5.34E-03	-0.1
-5.34E-03	-0.084
-5.33E-03	-0.1
-5.33E-03	-0.084
-5.32E-03	-0.092
-5.32E-03	-0.088
-5.32E-03	-0.08
-5.31E-03	-0.096
-5.31E-03	-0.088
-5.30E-03	-0.072
-5.30E-03	-0.1
-5.30E-03	-0.092
-5.29E-03	-0.064
-5.29E-03	-0.064
-5.28E-03	-0.088
-5.28E-03	-0.064
-5.28E-03	-0.088
-5.27E-03	-0.088
-5.27E-03	-0.084
-5.26E-03	-0.08
-5.26E-03	-0.084
-5.26E-03	-0.08
-5.25E-03	-0.08
-5.25E-03	-0.068
-5.24E-03	-0.056
-5.24E-03	-0.072
-5.24E-03	-0.084
-5.23E-03	-0.076
-5.23E-03	-0.084
-5.22E-03	-0.056
-5.22E-03	-0.06
-5.22E-03	-0.064
-5.21E-03	-0.048
-5.21E-03	-0.052
-5.20E-03	-0.076
-5.20E-03	-0.084
-5.20E-03	-0.048
-5.19E-03	-0.064
-5.19E-03	-0.048
-5.18E-03	-0.088
-5.18E-03	-0.048
-5.18E-03	-0.052
-5.17E-03	-0.048
-5.17E-03	-0.048
-5.16E-03	-0.076
-5.16E-03	-0.072
-5.16E-03	-0.056
-5.15E-03	-0.052
-5.15E-03	-0.072
-5.14E-03	-0.044
-5.14E-03	-0.036
-5.14E-03	-0.076
-5.13E-03	-0.028
-5.13E-03	-0.06
